Opponent,Scored,Missed
 1. FC Kaiserslautern ,3,6
 1. FC Köln ,5,3
 AC Milan ,27,26
 ACF Fiorentina ,4,1
 AD Alcorcón ,1,4
 AD Almería ,11,3
 AEK Athen ,10,6
 AEL Limassol ,12,0
 AFC Ajax ,27,15
 AJ Auxerre ,5,0
 APOEL Nikosia ,17,2
 AS Monaco ,5,5
 AS Roma ,26,10
 Aberdeen FC ,1,2
 Al Ain FC ,4,1
 Al Jazira Club ,2,1
 Al Nassr ,3,1
 Albacete ,33,9
 Alicante CF ,3,2
 Arenas de Getxo ,46,28
 Argeș Pitești ,4,3
 Arsenal FC ,0,1
 Athletic Bilbao ,378,266
 Atlético Aviación ,23,29
 Atlético Madrid ,328,237
 Atlético Tetuán ,7,5
 Austria Wien ,5,3
 Austria/WAC ,5,2
 B 1909 Odense ,9,2
 B 1913 Odense ,12,0
 BATE Borisov ,3,0
 BSC Young Boys ,5,1
 Barcelona Atlètic ,1,0
 Bayer Leverkusen ,15,11
 Bayern München ,40,41
 Beşiktaş ,3,1
 Boca Juniors ,1,2
 Bor. Mönchengladbach ,8,8
 Borussia Dortmund ,24,19
 Budapest Honved SE ,3,0
 Budapesti Vasas ,9,3
 Burgos CF ,26,15
 CA Osasuna ,172,77
 CD Alavés ,78,21
 CD Alcoyano ,27,11
 CD Castellón ,60,18
 CD Condal ,7,0
 CD Leganés ,28,13
 CD Leonesa ,19,3
 CD Logroñés ,37,14
 CD Málaga ,78,44
 CD Numancia ,20,10
 CD Tenerife ,61,31
 CD Toledo ,1,2
 CE Europa ,21,8
 CE Sabadell ,80,33
 CF América ,2,0
 CF Extremadura ,12,1
 CF Fuenlabrada ,4,2
 CP Mérida ,11,6
 CSKA Moskva ,5,6
 Cardiff City ,2,1
 Castilla CF ,6,1
 Celta Vigo ,260,146
 Celtic FC ,3,2
 Chelsea FC ,2,4
 Chernomorets Odessa ,2,1
 Club Brugge KV ,0,2
 Club Necaxa ,3,4
 Club Olimpia ,2,0
 Corinthians SP ,2,2
 Cruz Azul ,4,0
 Crvena Zvezda ,11,10
 Cádiz CF ,77,23
 Córdoba CF ,43,16
 Deportivo La Coruña ,202,120
 Derby County ,6,5
 Dinamo Bucureşti ,12,6
 Dinamo Kiev ,18,11
 Dinamo Moskva ,6,2
 Dinamo Zagreb ,7,2
 Donostia FC ,20,5
 Dukla Praha ,6,2
 Elche CF ,111,40
 Espanyol Barcelona ,386,203
 FC Baia Mare ,5,2
 FC Barcelona ,402,393
 FC Basel ,10,3
 FC Carl Zeiss Jena ,3,2
 FC København ,6,0
 FC Lugano ,6,1
 FC Politechnica Timisoara ,5,1
 FC Porto ,23,10
 FC Schalke 04 ,14,6
 FC Tirol ,11,3
 FC Tirol Innsbruck ,4,1
 FC Utrecht ,4,1
 FC Wacker Innsbruck ,2,1
 FC Zürich ,14,3
 FKS Stal Mielec ,3,1
 Feijenoord ,6,2
 Ferencvárosi TC ,7,2
 Feyenoord ,3,1
 Fram Reykjavík ,8,0
 Frankfurter SG Eintracht ,7,3
 Galatasaray ,21,10
 Getafe CF ,67,27
 Gimnàstic ,27,15
 Girona FC ,19,11
 Granada CF ,116,43
 Grasshopper Club Zürich ,7,3
 Grêmio Porto Alegre ,1,0
 Górnik Zabrze ,4,2
 HNK Rijeka ,4,3
 Hamburger SV ,3,5
 Hibernians FC ,5,0
 Hvidovre IF ,6,3
 Hércules CF ,96,26
 Inter ,20,19
 Ipswich Town ,0,1
 Jeunesse Esch ,12,2
 Juventus ,32,26
 KRC Genk ,7,1
 Kashima Antlers ,7,3
 Kilmarnock FC ,7,3
 Lazio Roma ,10,7
 Leeds United ,5,2
 Legia Warszawa ,8,4
 Levante UD ,73,21
 Levski Sofia ,3,0
 Limerick United ,7,2
 Liverpool FC ,7,7
 Lokomotiv Moskva ,7,4
 Malmö FF ,10,0
 Manchester City ,6,7
 Manchester United ,24,21
 Molde FK ,5,1
 Moss FK ,4,0
 Málaga CF ,85,35
 Neuchâtel Xamax FC ,7,3
 OGC Nice ,12,5
 Odense BK ,13,5
 Olympiakos Nikosia ,14,1
 Olympiakos Piräus ,18,9
 Olympique Lyon ,14,11
 Olympique Marseille ,12,4
 Olímpic Xàtiva ,2,0
 PFC Ludogorets Razgrad ,6,1
 PSV Eindhoven ,9,7
 Panathinaikos ,5,2
 Paris Saint-Germain ,11,9
 Partizan ,7,4
 Peñarol ,5,5
 Pontevedra CF ,18,10
 Progrès Niedercorn ,12,0
 RCD Mallorca ,129,64
 RSC Anderlecht ,23,15
 Racing Santander ,193,102
 Raja Casablanca ,3,2
 Rangers FC ,7,0
 Rapid Wien ,10,7
 Rayo Vallecano ,106,38
 Real Betis ,238,116
 Real Burgos ,15,6
 Real Jaén ,24,4
 Real Murcia ,97,31
 Real Oviedo ,165,79
 Real Sociedad ,305,191
 Real Unión ,22,17
 Real Valladolid ,192,97
 Real Vigo Sporting ,2,1
 Real Zaragoza ,292,161
 Recreativo Huelva ,26,13
 Rosenborg BK ,14,5
 Royal Antwerp FC ,8,1
 SD Compostela ,14,10
 SD Eibar ,28,8
 SD Huesca ,4,2
 SD Ponferradina ,7,1
 SL Benfica ,6,11
 SSC Napoli ,9,3
 SSW Innsbruck ,5,2
 San Lorenzo ,2,0
 Servette Genève ,7,0
 Sestao SC ,3,0
 Sevilla FC ,361,227
 Shakhtar Donetsk ,8,3
 Sigma Olomouc ,2,1
 Slovan Bratislava ,3,2
 Sparta Praha ,6,2
 Spartak Moskva ,7,7
 Spora Luxemburg ,9,0
 Sporting CP ,12,6
 Sporting Gijón ,190,91
 Stade Reims ,6,3
 Standard Liège ,8,4
 Steaua Bucureşti ,5,1
 Sturm Graz ,11,2
 TJ Sparta CKD Praha ,7,6
 TSV 1860 München ,3,2
 Tatabanya Banyasz SC ,2,2
 Terrassa CF ,7,5
 Torino FC ,2,3
 Torpedo Moskva ,7,5
 Tottenham Hotspur ,8,4
 UD Almería ,38,10
 UD Lanzarote ,3,1
 UD Las Palmas ,178,62
 UD Melilla ,10,1
 UD Pájara Playas ,4,0
 UD SS Reyes ,11,1
 UD Salamanca ,39,9
 UE Cornellà ,9,1
 UE Lleida ,19,3
 Valencia CF ,346,233
 Vasco da Gama ,2,1
 VfL Wolfsburg ,3,2
 Videoton SC ,3,1
 Viktoria Plzeň ,7,1
 Villarreal CF ,84,38
 Vitesse ,2,0
 Werder Bremen ,4,4
 Wiener Sport-Club ,7,1
 Wisła Kraków ,5,1
 Xerez CD ,8,0
 Zenit St. Petersburg ,5,1
 Écija Balompié ,6,2
 ÍB Keflavík ,4,0
 Újpesti Dózsa SC ,4,1
